Score: 3, Time played: 10 seconds
Score: 0, Time played: 2 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 3 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 2 seconds
Score: 0, Time played: 2 seconds
Score: 0, Time played: 13 seconds
Score: 0, Time played: 3 seconds
Score: 7, Time played: 15 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 2 seconds
Score: 0, Time played: 2 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 0 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
Score: 0, Time played: 1 seconds
